job_name,source_tb_name,sink_location,sink_db_name,sink_tb_name
build_sales_stat,multi_dimensions_stat,s3://kcd-de-production/raw/stat/snowdon/dashboard/corona/sales_stat,,
dedup_payments,pos_payments_raw,s3://kcd-data/raw/etl/pos/pos_payments,,
build_card_purchases,card_purchases,s3://kcd-de-production/raw/etl/snowdon/card/card_purchases,snowdon,card_purchases
build_card_purchases,prev_card_purchases_approvals,s3://kcd-de-production/raw/etl/snowdon/card/card_purchases,snowdon,card_purchases
approvals,approvals,s3://kcd-data-staging/raw/etl/snowdon/card_sales/approvals,,
dump_db_card_sales,card_sales_transactions,s3://kcd-de-staging/work/elric/dump/snowdon/incremental/card_sales_transactions,,
dump_incremental,report_logs,s3://kcd-de-production/raw/db/snowdon/incremental/report_logs,snowdon,report_logs
dump_incremental,hometax_card_purchases,s3://kcd-de-production/raw/db/snowdon/incremental/hometax_card_purchases,snowdon,hometax_card_purchases
dump_incremental,hometax_purchases_cash_receipts,s3://kcd-de-production/raw/db/snowdon/incremental/hometax_purchases_cash_receipts,snowdon,hometax_purchases_cash_receipts
dump_incremental,hometax_purchases_invoices,s3://kcd-de-production/raw/db/snowdon/incremental/hometax_purchases_invoices,snowdon,hometax_purchases_invoices
dump_incremental,hometax_card_sales,s3://kcd-de-production/raw/db/snowdon/incremental/hometax_card_sales,snowdon,hometax_card_sales
dump_incremental,hometax_sales_cash_receipts,s3://kcd-de-production/raw/db/snowdon/incremental/hometax_sales_cash_receipts,snowdon,hometax_sales_cash_receipts
dump_incremental,hometax_sales_invoices,s3://kcd-de-production/raw/db/snowdon/incremental/hometax_sales_invoices,snowdon,hometax_sales_invoices
dump_incremental,bank_transactions,s3://kcd-de-production/raw/db/snowdon/incremental/bank_transactions,snowdon,bank_transactions
dump_incremental,shinhancard_customer_statistics,s3://kcd-de-production/raw/db/snowdon/incremental/shinhancard_customer_statistics,snowdon,shinhancard_customer_statistics
dump_incremental,daily_reports,s3://kcd-de-production/raw/db/snowdon/incremental/daily_reports,snowdon,daily_reports
dump_incremental,weekly_reports,s3://kcd-de-production/raw/db/snowdon/incremental/weekly_reports,snowdon,weekly_reports
dump_incremental,monthly_reports,s3://kcd-de-production/raw/db/snowdon/incremental/monthly_reports,snowdon,monthly_reports
dump_incremental,place_comments,s3://kcd-de-production/raw/db/snowdon/incremental/place_comments,snowdon,place_comments
dump_incremental,place_reviews,s3://kcd-de-production/raw/db/snowdon/incremental/place_reviews,snowdon,place_reviews
dump_incremental,baemin_payments,s3://kcd-de-production/raw/db/snowdon/incremental/baemin_payments,snowdon,baemin_payments
dump_incremental,baemin_orders,s3://kcd-de-production/raw/db/snowdon/incremental/baemin_orders,snowdon,baemin_orders
